2021-03-14 12:25:52 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.2.18
      major : 42
      minor : 2
2021-03-14 12:25:52 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2021-03-14 12:25:52 INFO  Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2021-03-14 12:25:52 DEBUG IdentifierHelperBuilder:110 - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2021-03-14 12:25:53 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2021-03-14 12:25:53 DEBUG BasicTypeRegistry:157 - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@189b5fb1
2021-03-14 12:25:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@189b5fb1
2021-03-14 12:25:53 DEBUG BasicTypeRegistry:160 - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@58c34bb3
2021-03-14 12:25:53 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@512d4583] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@2abc224d]
2021-03-14 12:25:53 DEBUG AnnotationBinder:560 - Binding entity from annotated class: dev.bennett.entities.Employee
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-03-14 12:25:53 DEBUG EntityBinder:430 - Import with entity name Employee
2021-03-14 12:25:53 DEBUG EntityBinder:873 - Bind entity dev.bennett.entities.Employee on table employee
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employee), mappingColumn=employee_id, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG ClassLoaderAccessImpl:60 - Not known whether passed class name [dev.bennett.entities.Employee] is safe
2021-03-14 12:25:53 DEBUG ClassLoaderAccessImpl:62 - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : dev.bennett.entities.Employee
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property employeeID with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Employee:employeeID]
2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for employeeID
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property employeeID
2021-03-14 12:25:53 DEBUG BinderHelper:643 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(employee_id)]), employeeID, identity, , ...)
